"Institute", "Academic Program Name", "Quota", "Seat Type", "Gender", "Opening Rank", "Closing Rank","Institute Type","State"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "2458", "3505","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Female-only (including Supernumerary)", "2711", "3237","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "4955", "11282","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "4834", "11498","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL (PwD)", "Gender-Neutral", "484", "484","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "707", "2960","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "2446", "3956","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC (PwD)", "Gender-Neutral", "113", "113","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "1996", "8450","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Female-only (including Supernumerary)", "8306", "8306","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "9028", "11017","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "12865", "17138","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "271", "271","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1603", "1766","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Female-only (including Supernumerary)", "2686", "3097","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS (PwD)", "Gender-Neutral", "63", "63","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "2989", "3741","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "5369", "6736","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "151", "151","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "1617", "2088","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "2374", "2390","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "541", "778","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Computer Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Female-only (including Supernumerary)", "1052", "1052","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "16489", "18679","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "23231", "23370","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "3585", "3865","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Gender-Neutral", "12661", "21272","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "OBC-NCL", "Female-only (including Supernumerary)", "20410", "20410","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Gender-Neutral", "2995", "3749","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "SC", "Female-only (including Supernumerary)", "6476", "6476","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "HS", "ST", "Gender-Neutral", "11617", "11617","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Gender-Neutral", "13020", "13373","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN", "Female-only (including Supernumerary)", "20271", "21233","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OPEN (PwD)", "Gender-Neutral", "390", "390","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "EWS", "Gender-Neutral", "1934", "1957","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Gender-Neutral", "4789", "4908","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL", "Female-only (including Supernumerary)", "8908", "8908","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "OBC-NCL (PwD)", "Gender-Neutral", "310", "310","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Gender-Neutral", "2163", "2862","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "SC", "Female-only (including Supernumerary)", "4648", "4648","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Data Science and Engineering (4 Years, Bachelor of Technology)", "OS", "ST", "Gender-Neutral", "1132", "1132","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Gender-Neutral", "27250", "32848","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "OPEN", "Female-only (including Supernumerary)", "27444", "28767","NIT","Punjab"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar", "Electrical Engineering (4 Years, Bachelor of Technology)", "HS", "EWS", "Gender-Neutral", "5854", "6138","NIT","Punjab"
